name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"London,UK",2010-12-01,0.8,-0.2,0.2,-4.5,-6.4,-5.3,-4.4,71.4,0.004,100,4.17,"rain,snow",0.3,0.1,45.6,27.2,32.2,1007.3,80.8,16.6,21.4,1.8,1,,2010-12-01T07:43:40,2010-12-01T15:55:00,0.85,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-02,0.1,-1.2,-0.4,-4.6,-5.6,-5.1,-2.8,84.2,0.498,100,8.33,"rain,snow",1.6,1.2,,19.5,41.3,1007.6,78.7,11.1,14.3,1.1,1,,2010-12-02T07:45:03,2010-12-02T15:54:24,0.88,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-03,1.1,-3.7,-2.3,-2.7,-7.7,-5.7,-4.1,87.6,0,0,0,,0,0.5,,14.7,285.8,1012,71.4,10.7,50.9,4.3,3,,2010-12-03T07:46:24,2010-12-03T15:53:51,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-04,6.1,1.8,4.2,4.8,-2.8,1.4,3.3,93.8,5.329,100,12.5,rain,0,0,,25.6,205.5,1004.8,74.5,11,15.2,1.3,1,,2010-12-04T07:47:44,2010-12-04T15:53:20,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,remote,03772099999,03770099999"
"London,UK",2010-12-05,5.3,-1.6,2.5,2.9,-1.6,0.7,0.8,88.6,1.006,100,8.33,rain,0,0,,12.9,301,1004.4,60.6,9.6,30.3,2.7,1,,2010-12-05T07:49:01,2010-12-05T15:52:53,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-06,0,-2.6,-1.3,0,-4.8,-2.2,-2,95.1,0,0,0,,0,0,,7.1,351.4,1003,95.8,2.5,46.7,3.9,2,,2010-12-06T07:50:16,2010-12-06T15:52:30,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-07,1.8,-1.7,0.3,0.6,-3.4,-1.1,-2.3,83,0,0,0,,0,0,,10.9,14.9,1005.3,68.4,9.1,27.9,2.5,1,,2010-12-07T07:51:29,2010-12-07T15:52:09,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-08,3.1,-0.4,1.1,-1.1,-4.4,-2.6,-1.2,84.8,0,0,0,,0,0,,18.9,356.1,1013,68.5,16.4,23.4,2.2,1,,2010-12-08T07:52:39,2010-12-08T15:51:52,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-09,4.8,-1.7,1.4,1.3,-5.6,-2.2,-2.3,76.4,0,0,0,,0,0,,16.5,280.7,1029.8,33.2,30.3,51.7,4.4,3,,2010-12-09T07:53:47,2010-12-09T15:51:38,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-10,7.5,1.2,4.9,4.8,-2,2,2.8,86.4,0.001,100,4.17,rain,0,0,,19.4,263.5,1031.6,80.2,21.3,21,1.8,1,,2010-12-10T07:54:53,2010-12-10T15:51:28,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-11,8.8,5.8,7.4,7.2,2.6,5.1,3.9,78.7,0,0,0,,0,0,,20.9,294.5,1025.8,87.2,27.6,15.5,1.2,1,,2010-12-11T07:55:55,2010-12-11T15:51:21,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-12,6.6,2.6,4.8,4.8,1.5,3.1,2.1,82.8,0,0,0,,0,0,,14,0.2,1024.4,64.6,13.6,44.1,3.8,2,,2010-12-12T07:56:56,2010-12-12T15:51:18,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-13,5.1,0.6,3.2,4.5,-1.4,2,1.2,87.5,0.001,100,4.17,"rain,snow",0,0,,12.2,334.1,1027.6,62.8,6.2,37.6,3.3,2,,2010-12-13T07:57:53,2010-12-13T15:51:17,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-14,4.8,2.3,4.2,4,1.2,2.1,1,80,0.5,100,4.17,rain,0,0,,14.9,12.2,1032.8,62.2,16,46.7,4,2,,2010-12-14T07:58:48,2010-12-14T15:51:21,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-15,5.6,0.3,3.2,2.8,-3,0.6,0.9,84.8,0.802,100,8.33,rain,0,0,,14.9,313.8,1035,70.6,11.8,26.3,2.2,2,,2010-12-15T07:59:40,2010-12-15T15:51:27,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-16,6.8,-0.5,4.1,2.8,-5.3,0.1,1.8,85.4,3.001,100,12.5,rain,0,0,,27,285.4,1010.6,70.8,20.5,12.7,1,1,,2010-12-16T08:00:29,2010-12-16T15:51:38,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-17,-0.4,-3.7,-2,-2.2,-7.8,-5.5,-5.1,79.6,0.497,100,4.17,"rain,snow",0.2,0.1,,15.6,279.5,998.9,55.8,28.9,26.4,2.4,2,,2010-12-17T08:01:14,2010-12-17T15:51:51,0.38,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-18,0.6,-4.2,-1.6,-0.4,-6.9,-4.7,-3,90.4,0.001,100,4.17,"rain,snow",6,3.8,,18.7,139.8,992.1,72.6,13.9,12.3,1,1,,2010-12-18T08:01:57,2010-12-18T15:52:08,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-19,0.8,-2.9,-0.9,-3,-5.8,-4.4,-3.8,80.8,0.001,100,4.17,snow,0,5.4,,18.2,21.6,994.6,66.5,13,23.4,2.1,1,,2010-12-19T08:02:37,2010-12-19T15:52:28,0.44,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-20,1.3,-5.2,-1.3,-2.4,-6.4,-4.1,-3.4,86,0.302,100,8.33,"rain,snow",0,4.7,,17.9,82.8,1001.2,64.6,10.5,15.2,1.2,1,,2010-12-20T08:03:14,2010-12-20T15:52:52,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-21,2.6,0.8,1.8,2,-2.5,-0.5,0.5,91.1,2.491,100,12.5,"rain,snow",0,3.1,,12.1,38.6,1002.5,96.1,4.1,28.2,2.2,1,,2010-12-21T08:03:47,2010-12-21T15:53:19,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-22,2.5,1.1,2,2.1,-3.6,-0.8,0.2,87.9,3.585,100,16.67,"rain,snow",0,1.9,,19.8,15.4,1005.7,84.5,7.3,23.8,2,1,,2010-12-22T08:04:17,2010-12-22T15:53:49,0.54,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-23,3.1,-0.2,1.8,-1.8,-5.3,-3,-2.4,73.5,0.306,100,8.33,"rain,snow",0,1.1,50,27.5,14.3,1010.1,75.8,22.5,27.1,2.4,1,,2010-12-23T08:04:44,2010-12-23T15:54:23,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-24,2.3,0.3,1.4,-1,-4.3,-2.7,-2,78.5,0.298,100,4.17,"rain,snow",0,1,,24,358.3,1018.5,69.6,18.5,27.8,2.4,1,,2010-12-24T08:05:08,2010-12-24T15:55:00,0.61,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2010-12-25,0.6,-2.7,-1,-0.9,-5.5,-3.6,-2.4,89.7,0.001,100,4.17,"rain,snow",0.5,1.2,,12.1,309.8,1027.9,66.5,8.3,43.1,3.7,2,,2010-12-25T08:05:28,2010-12-25T15:55:40,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"03769099999,03672099999,03781099999,03772099999,03770099999"
