Revenue,InvoiceDate
139.12,2010-12-01 08:26:00.000000000
22.200000000000003,2010-12-01 08:28:00.000000000
278.73,2010-12-01 08:34:00.000000000
70.05000000000001,2010-12-01 08:34:00.000000000
17.85,2010-12-01 08:35:00.000000000
204.0,2010-12-01 09:00:00.000000000
22.200000000000003,2010-12-01 09:01:00.000000000
259.86,2010-12-01 09:02:00.000000000
350.4,2010-12-01 09:09:00.000000000
259.86,2010-12-01 09:32:00.000000000
328.8,2010-12-01 09:32:00.000000000
22.200000000000003,2010-12-01 09:34:00.000000000
444.98,2010-12-01 09:37:00.000000000
34.8,2010-12-01 09:41:00.000000000
449.98,2010-12-01 09:41:00.000000000
430.6,2010-12-01 09:45:00.000000000
489.6,2010-12-01 09:53:00.000000000
130.85,2010-12-01 09:56:00.000000000
508.20000000000005,2010-12-01 09:57:00.000000000
3193.92,2010-12-01 09:58:00.000000000
226.14,2010-12-01 09:59:00.000000000
1825.74,2010-12-01 10:19:00.000000000
318.14,2010-12-01 10:29:00.000000000
79.6,2010-12-01 10:37:00.000000000
1024.68,2010-12-01 10:39:00.000000000
507.88,2010-12-01 10:47:00.000000000
376.36,2010-12-01 10:51:00.000000000
279.0,2010-12-01 10:51:00.000000000
426.56,2010-12-01 10:52:00.000000000
22.200000000000003,2010-12-01 10:52:00.000000000
17.4,2010-12-01 10:53:00.000000000
354.23,2010-12-01 11:21:00.000000000
357.0,2010-12-01 11:22:00.000000000
471.3,2010-12-01 11:29:00.000000000
326.4,2010-12-01 11:32:00.000000000
353.14,2010-12-01 11:33:00.000000000
22.200000000000003,2010-12-01 11:34:00.000000000
783.11,2010-12-01 11:41:00.000000000
243.28,2010-12-01 11:45:00.000000000
514.41,2010-12-01 11:49:00.000000000
0.0,2010-12-01 11:52:00.000000000
390.79,2010-12-01 11:57:00.000000000
225.7,2010-12-01 11:58:00.000000000
233.45,2010-12-01 12:03:00.000000000
303.9,2010-12-01 12:08:00.000000000
362.45,2010-12-01 12:08:00.000000000
842.12,2010-12-01 12:12:00.000000000
440.89,2010-12-01 12:15:00.000000000
295.54,2010-12-01 12:22:00.000000000
17.4,2010-12-01 12:22:00.000000000
277.35,2010-12-01 12:23:00.000000000
42.9,2010-12-01 12:23:00.000000000
2474.7400000000002,2010-12-01 12:27:00.000000000
165.89,2010-12-01 12:31:00.000000000
223.9,2010-12-01 12:35:00.000000256
95.29,2010-12-01 12:36:00.000000000
155.52,2010-12-01 12:38:00.000000000
295.5,2010-12-01 12:40:00.000000000
313.49,2010-12-01 12:43:00.000000000
4.95,2010-12-01 12:48:00.000000000
191.06,2010-12-01 12:49:00.000000000
203.3,2010-12-01 12:50:00.000000000
70.80000000000001,2010-12-01 12:51:00.000000000
136.24,2010-12-01 12:54:00.000000000
301.24,2010-12-01 12:58:00.000000000
313.93,2010-12-01 13:17:00.000000000
161.0,2010-12-01 13:20:00.000000000
201.75,2010-12-01 13:21:00.000000000
950.09,2010-12-01 13:23:00.000000000
156.1,2010-12-01 13:31:00.000000000
115.65,2010-12-01 13:33:00.000000000
194.85000000000002,2010-12-01 13:38:00.000000000
165.04999999999998,2010-12-01 13:45:00.000000000
369.5,2010-12-01 13:51:00.000000000
255.0,2010-12-01 13:53:59.999999744
487.75,2010-12-01 14:03:00.000000000
787.4,2010-12-01 14:11:00.000000000
5521.14,2010-12-01 14:32:00.000000000
0.0,2010-12-01 14:32:00.000000000
0.0,2010-12-01 14:33:00.000000000
0.0,2010-12-01 14:33:00.000000000
0.0,2010-12-01 14:34:00.000000000
0.0,2010-12-01 14:34:00.000000000
146.61,2010-12-01 14:34:00.000000000
0.0,2010-12-01 14:34:00.000000000
0.0,2010-12-01 14:35:00.000000000
0.0,2010-12-01 14:35:00.000000000
2.9699999999999998,2010-12-01 14:37:00.000000000
101.55,2010-12-01 14:38:00.000000000
537.38,2010-12-01 14:41:00.000000000
99.75,2010-12-01 14:48:00.000000000
215.14999999999998,2010-12-01 14:54:00.000000000
799.4,2010-12-01 15:00:00.000000000
322.40000000000003,2010-12-01 15:06:00.000000000
308.65000000000003,2010-12-01 15:08:00.000000000
172.54,2010-12-01 15:08:00.000000000
51.4,2010-12-01 15:08:00.000000000
6.7,2010-12-01 15:15:00.000000000
116.25,2010-12-01 15:21:00.000000000
251.40000000000003,2010-12-01 15:27:00.000000000
5.04,2010-12-01 15:28:00.000000000
357.95,2010-12-01 15:35:00.000000000
304.34000000000003,2010-12-01 15:35:00.000000000
294.62,2010-12-01 15:37:00.000000000
442.34999999999997,2010-12-01 15:40:00.000000000
143.12,2010-12-01 15:45:00.000000000
17.85,2010-12-01 15:46:00.000000000
1552.98,2010-12-01 16:01:00.000000000
2558.42,2010-12-01 16:11:00.000000000
497.0,2010-12-01 16:13:00.000000000
279.6,2010-12-01 16:15:00.000000000
315.96000000000004,2010-12-01 16:16:00.000000000
97.19999999999999,2010-12-01 16:17:00.000000000
330.0,2010-12-01 16:19:00.000000000
304.04,2010-12-01 16:21:00.000000000
198.0,2010-12-01 16:21:00.000000000
1132.8000000000002,2010-12-01 16:22:00.000000000
19.9,2010-12-01 16:24:00.000000000
344.2,2010-12-01 16:25:00.000000000
311.81,2010-12-01 16:33:00.000000000
277.05,2010-12-01 16:49:00.000000000
0.0,2010-12-01 16:50:00.000000000
205.86,2010-12-01 16:52:00.000000000
198.32,2010-12-01 16:57:09.000000000
6915.65,2010-12-01 17:06:00.000000000
81.75,2010-12-01 17:15:00.000000000
79.5,2010-12-01 17:22:00.000000000
349.15,2010-12-01 17:24:00.000000000
38.09,2010-12-01 17:29:00.000000000
102.78999999999999,2010-12-01 17:35:00.000000000
160.6,2010-12-02 07:48:00.000000000
306.4,2010-12-02 07:49:00.000000000
251.62,2010-12-02 08:32:00.000000000
22.200000000000003,2010-12-02 08:33:00.000000000
163.76,2010-12-02 08:34:00.000000000
22.200000000000003,2010-12-02 08:40:00.000000000
184.5,2010-12-02 08:43:00.000000000
272.65000000000003,2010-12-02 08:52:00.000000000
303.97,2010-12-02 09:29:00.000000000
38.1,2010-12-02 09:37:00.000000000
244.46,2010-12-02 09:41:00.000000000
22.200000000000003,2010-12-02 09:42:00.000000000
259.65000000000003,2010-12-02 09:43:00.000000000
206.76,2010-12-02 09:44:00.000000000
208.97,2010-12-02 09:44:00.000000000
22.200000000000003,2010-12-02 09:44:00.000000000
286.92,2010-12-02 10:09:00.000000000
244.08,2010-12-02 10:10:00.000000000
1095.12,2010-12-02 10:17:00.000000000
780.12,2010-12-02 10:17:00.000000000
97.19999999999999,2010-12-02 10:18:00.000000000
485.25,2010-12-02 10:27:00.000000000
350.06,2010-12-02 10:35:00.000000000
768.38,2010-12-02 10:39:00.000000000
610.64,2010-12-02 10:45:00.000000000
12.600000000000001,2010-12-02 10:46:00.000000000
306.2,2010-12-02 10:53:00.000000000
230.56,2010-12-02 10:54:00.000000000
22.200000000000003,2010-12-02 10:55:00.000000000
244.46,2010-12-02 10:56:00.000000000
22.200000000000003,2010-12-02 10:58:00.000000000
312.8,2010-12-02 11:02:00.000000000
204.15,2010-12-02 11:20:00.000000000
193.78,2010-12-02 11:21:00.000000000
572.38,2010-12-02 11:22:00.000000000
106.2,2010-12-02 11:23:00.000000000
235.16,2010-12-02 11:35:00.000000000
1056.63,2010-12-02 11:41:00.000000000
288.5,2010-12-02 11:45:00.000000000
45.85,2010-12-02 11:45:00.000000000
4.25,2010-12-02 11:46:00.000000000
223.7,2010-12-02 11:57:00.000000000
299.40000000000003,2010-12-02 12:07:00.000000000
362.5,2010-12-02 12:09:00.000000000
58.0,2010-12-02 12:09:00.000000000
136.2,2010-12-02 12:10:00.000000000
127.2,2010-12-02 12:10:00.000000000
339.84,2010-12-02 12:11:00.000000000
127.08,2010-12-02 12:16:00.000000000
207.5,2010-12-02 12:18:00.000000000
113.92,2010-12-02 12:22:00.000000000
380.46,2010-12-02 12:23:00.000000000
22.200000000000003,2010-12-02 12:24:00.000000000
331.26,2010-12-02 12:25:00.000000000
22.200000000000003,2010-12-02 12:26:00.000000000
326.0,2010-12-02 12:28:00.000000000
199.65,2010-12-02 12:33:00.000000000
354.54,2010-12-02 12:47:00.000000000
329.65000000000003,2010-12-02 12:50:00.000000000
